artist_name,song_name,recording_id,SPOTIFY_URL,ALBUM_NAME,ALBUM_RELEASE_DATE,DURATION_MS,POPULARITY
crooked i,dancin on your grave,502e3f10-44db-40c1-9078-45f7c3a24ff1,https://open.spotify.com/track/3l9XcrPZwg37swSJD3AmcC,PUMP,2024-06-20,197547,37
trip lee,one sixteen,653bfdee-5251-410b-8c49-52d882fd0b6f,https://open.spotify.com/track/11jyj2276ZVZ4yqrXjWl9r,Between Two Worlds,2010-06-22,291773,16
j6&tkc,throw rocks,3b0856aa-b3aa-4e18-803c-1bc3f017a475,https://open.spotify.com/track/7fCJs7RgFVZmXioAb6sorc,Fat Niggas Need Love Too,2021-06-25,198064,33
lance butters,dämliche faggots,78da8c00-8420-4c17-9aa0-60fb6ac8cb8a,https://open.spotify.com/track/2qMgxFdqFDjPbNG8YOKmG3,Raw Material,2017-08-04,250209,32
chris brown,next to you,8b279c3b-0da7-43a0-b73b-662d6e2dbe33,https://open.spotify.com/track/7L65Pb82pOWIGaQ468yfwU,Karaoke Hits 2011 Volume 8,2012-08-16,266088,5
linkin park,lost in the echo,a79dff9a-2247-4fe7-b913-8aaceea0ce3d,https://open.spotify.com/track/7Hez3TmjSqSl38mqtikEHt,Lost in the Echo (Originally Performed By Linkin Park) [Karaoke Audio Version],2012-10-19,205295,0
young the giant,cough syrup,e7b133cb-1be6-441d-8d62-99b859681283,https://open.spotify.com/track/1oLMC3cBot39A4Kv4tHFf9,Young The Giant (10th Anniversary Edition),2010-10-25,248976,23
metronomy,the look,0a3b1aaf-c0ad-46c0-8ec1-c8f2a41435a7,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,2024-05-17,210373,97
cassidy,goon music,a22e056b-58b2-469c-87be-0bfd4dc9f594,https://open.spotify.com/track/3oBN47YTHE8pADmbCE6rqN,Wave Pack,2020-02-28,213732,13
danny & pumba,stil,34b1c165-589f-4948-b686-be50c37a24d0,https://open.spotify.com/track/4qojlA7eMQPa6zVXRikFnt,Stil,2010-11-25,268092,8
demi portion,le droit de tuer,0476afee-9959-4e7a-846b-684977a5fd6a,https://open.spotify.com/track/67d5xs3Ps0h17IAVDDPsrX,Artisan du Bic,2011-10-10,200720,4
scylla,personne,fd206f0a-0bcc-4b53-b72a-98742a4a3ada,https://open.spotify.com/track/1p9kMVIwEfnTf3q8xnCRtL,Pleine Lune,2018-10-12,213293,53
angel haze,hot like fire,013db0c6-1fb5-43f8-b08b-71b5bd6ae889,https://open.spotify.com/track/3OjfYAJNVzLznEFxinx6Lf,Broken Glass Slippers,2020-09-21,294133,3
karpe,aldri solgt en løgn,5638c7a5-959c-4a76-abcb-d380485248b0,https://open.spotify.com/track/7xoMgK5mRC55NrzNl7BSmt,Aldri Solgt En Løgn,2010-04-19,163840,27
karpe,snøhvit,c135ccc2-db03-42a9-879d-5b905f462e54,https://open.spotify.com/track/5MhB02T4qSYNlbvHJkOGT0,B-Gjengen 2023 (Hjemmesnekk),2023-04-28,244499,7
lil b,like me,0905bfdd-2377-4875-b38a-73434758115e,https://open.spotify.com/track/6tEuUJ0RBarrjVmgfXChLo,Fancy Meeting You Here,2001-09-25,160133,10
b.o.b,wonderland,c1d543e2-7c16-492c-b5d2-bc4f9c9f3a35,https://open.spotify.com/track/5Lm6FP14IVojlU1JuwiNwf,The Best Of… 20 Greatest Hits Billy Vaughn y Su Orquesta,2015-05-21,179141,20
arthur rimbaud,ophelia,23a635fc-3fd3-4da6-b00b-5509629cf19c,https://open.spotify.com/track/05mVyEriMUu4bDmcRBnSje,Poés'IA - 2024,2024-12-29,295590,0
the vaccines,i always knew,347a9713-8e69-4044-9c25-924fcd686792,https://open.spotify.com/track/3z58tW3MUuCa5bqSsc1bB3,Live from Spotify SXSW (2015),2015-05-25,224413,9
madonna,love spent,d54b0d6b-838d-4965-af52-32e7e2d57b7f,https://open.spotify.com/track/6X5Ex9NRygwxPUzSY2sMwj,MDNA World Tour,2013-01-01,287613,20
krizz kaliko,down,b1323799-898b-451c-bc54-73f2b763613d,https://open.spotify.com/track/0ZLwF4ZLxTZ0Sd5V20Ocw2,Feature Presentation,2008-10-07,272826,6
krizz kaliko,medicine,2a72203a-98a3-4e8c-b03e-c3aeb31edf21,https://open.spotify.com/track/1Cp2H7kRAvcT6oZaDKTFKr,S.I.C. - EP,2011-05-17,162800,4
krizz kaliko,get around,9a2128ea-b58c-4408-ad12-02dd0091c48a,https://open.spotify.com/track/1AJx5jJQy9pKKxcnHm85RY,Sickology 101,2009-05-19,240173,57
krizz kaliko,freaks,be6d6183-fd96-479e-a45d-b4d4b4e90da5,https://open.spotify.com/track/4oRcw9Eoe9SWKAZ2VA7N6x,Welcome to Strangeland,2011-11-08,178320,8
childish gambino,bite my shit,8c0eb9a6-846a-4013-83db-6902a0764ca8,https://open.spotify.com/track/6Fffw8viPoqq6Ld18wIEMu,THA TAKEOVER,2022-07-01,156395,24
georgio,insomnie,a9c72cdb-4bc1-40f5-8adf-f2aa8844d198,https://open.spotify.com/track/1pvyA3x37pWeaniq8a4oar,Geordie,2023-06-30,173007,29
lola monroe,dark red lipstick,c2d7d4f0-4220-47fb-b028-e4a08fae262b,https://open.spotify.com/track/1owscrL5tRloIgpflp86uy,You Should Be Mine,2019-12-13,207858,1
rockie fresh,you a lie remix,0fbc44fc-7117-43aa-9200-56bfa4860937,https://open.spotify.com/track/5QGefhDI1E5bP6HN7UK2P8,Big Facts,2020-04-08,167836,23
maejor,diamond,890411e1-663e-40ff-806f-593e4682af27,https://open.spotify.com/track/35dRPbNmPRjLa1gStEFf57,Dj Marta Vol. 5,2012-11-26,147573,25
danny brown,molly ringwald,e0414acb-fcd7-496a-b41b-c9bbde583ee7,https://open.spotify.com/track/42cSpohhl7a5PeBeFsWsAQ,Fool's Gold Presents: Loosies,2013-12-18,141724,12
lola monroe,goldie freestyle,aec85e2e-2d92-42cb-b882-a6175c085260,https://open.spotify.com/track/3Ihy7br6cYXyi1LVLfdNEd,"God, Money, War",2015-06-23,224000,8
yelawolf,wrap song,3c420b7d-87fe-4bd7-a6fb-2bb03f7bcc88,https://open.spotify.com/track/2hJut7tFZdzvKLHwTXZvlv,94.3 the Reel,2017-09-08,373845,25
jojo,demonstrate,a4e377b2-44ab-49c4-8c7c-854e57c2ca33,https://open.spotify.com/track/53nWSlI6hUndmhgGSLUvhe,Demonstrate (2018),2018-12-20,196093,22
hopsin,ill mind of hopsin 5,b49bf2f1-fbb3-41fe-8aae-99c56888f85b,https://open.spotify.com/track/2fpzSINgTCbf4sS7LH39G5,Raw,2010-11-19,219089,51
blu & exile,a man,04e8bf44-d5c1-4b6b-8a78-9929d3038830,https://open.spotify.com/track/5hvtoi0UovHVkRcpb06asE,The Unfolding,2018-04-20,462781,6
demi portion,entre dedans et dehors,6441c855-6710-4d92-b276-190b36c3e990,https://open.spotify.com/track/3q0GOlIZ6n2qtV9SUju5Rr,2 chez moi,2017-01-20,186177,18
capleton,acres,efb1387d-ec4f-4ca1-8dce-4d1662ebb9fa,https://open.spotify.com/track/7j2ZEYVRLDV976NVzdC3Lj,The Biggest Reggae One-Drop Anthems 2009,2011-06-01,236733,26
karpe,blood,7b040358-e356-41c2-8b30-3a6bb275dc46,https://open.spotify.com/track/5qmQCfNNLcm93A3fDKylCd,NOROESTE,2024-12-10,173682,42
mellowhype,la bonita,6880f8e5-50aa-4944-852d-2499c4315ce6,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,DeBÍ TiRAR MáS FOToS,2025-01-05,237117,93
chief keef,john madden,cbf4eecb-7959-499c-96a2-b76de4a42bc3,https://open.spotify.com/track/2eKX0fo7Utp6pQymvlKfiH,Shawty Rxk Too 2,2021-12-11,823272,29
alyssa marie,close,744b6029-cff3-4249-8efe-cff66f2eb332,https://open.spotify.com/track/5CrbqqgDtuhZeyTU1xV0Jq,I'm Here Now,2020-05-08,192614,3
lady,hands,dd33e15d-f1e7-420e-8445-3c53fc6a9986,https://open.spotify.com/track/3mXighHEKK28jc9i68sm9T,Suicide Is Painless [Niconé Remix (2021 Remaster Hands On Series)],2021-06-25,519991,1
disiz,extra-lucide,64ab6264-aa54-4e0e-a171-381b1aba26e9,https://open.spotify.com/track/0O4YdgJpBkP3SXEkpzdyME,Lucide,2012-03-26,306533,28
nipsey hussle,bigger than life,d5177f24-2c58-4f84-ab30-5b0bf5b43f4c,https://open.spotify.com/track/79Re7M6qqhCBIQYjexeXl4,Money Got Wings,2022-08-05,129828,28
lana del rey,national anthem das racist remix,0658159c-d063-4838-814d-3e1736b6644a,https://open.spotify.com/track/2egAPz2poW0Ic8Bu3kTLt5,MISSISSIPPI (Misisipi),2023-06-12,239997,20
talib kweli,push thru,1fbcd774-f9ec-4226-89fa-05cfa8c869cc,https://open.spotify.com/track/3HVJmRg8pBQluY6HWsMKmx,Two Tone,2023-05-21,222040,45
action bronson,blackbird,2fc2779c-682e-433f-a4ae-a9987455be7c,https://open.spotify.com/track/2kY12EludRCFw5oOlRH3r0,Anđeli I Bomboni,2018-02-26,178582,14
chance the rapper,u got me fucked up,33074c1c-7dab-48eb-9ba1-2ee9b827de3e,https://open.spotify.com/track/6I0nu5bdf41rWrkjd7h21T,10 Day,2012-04-03,170958,29
the vaccines,i wish i was a girl,95cb59ad-03de-4f28-86e7-d397e250c74c,https://open.spotify.com/track/3bNv3VuUOKgrf5hu3YcuRo,21,2011-01-24,285240,80
the vaccines,teenage icon,98561674-888b-4fc6-8c09-06a0ea04f7bb,https://open.spotify.com/track/7wiImH87TVvBYrnZy4pUjh,Live from Spotify SXSW (2015),2015-05-25,226413,8
the vaccines,all in vain,4bd63195-f9c8-4390-983e-68060a0c865d,https://open.spotify.com/track/2vkxzj3SkgtaVa8qnTb8z2,Melancholy Pop Sundays,2025-01-10,404480,0
the vaccines,ghost town,298e5b6c-d6be-4411-a9a1-231e9ba350b8,https://open.spotify.com/track/7tgtLzGvrs36ni5zp9X8af,Coronavirus,2020-03-17,180618,31
the vaccines,aftershave ocean,bcfde50e-2141-41ed-a31a-014b23b2a372,https://open.spotify.com/track/69Wh0ipeW1z2x78lOpsKuL,English Graffiti (Expanded Edition),2015-05-26,258720,50
the vaccines,weirdo,9b5e5839-804f-42d6-ae3e-4a5cb1e7bcde,https://open.spotify.com/track/1BseTf5D8NvKL6dn9AX27S,Live in Brighton (2012),2012-09-03,300866,6
the vaccines,bad mood,83bea8ab-8928-409c-8f30-3c40675b4dc1,https://open.spotify.com/track/01LtBWj2snvPC5DythQWOT,Live from Spotify SXSW (2015),2015-05-25,206333,6
the vaccines,lonely world,8b3e4a0e-637d-413c-8c32-9c7cb4d2382d,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,Viva La Vida or Death and All His Friends,2008-05-26,242373,86
despo rutti,dangeroots,04e4d8aa-91c5-4a92-bb60-e4e550fde568,https://open.spotify.com/track/0IbX2jvlmnPRnS1tGJHZLp,despo' rutti ''arretez'',2006-06-09,234920,32
eli young band,even if it breaks your heart,6f18daf3-64bc-4065-a25a-2e9e7164f710,https://open.spotify.com/track/0muLDlQjvc8bHPhtn2o0sB,Best Of 2010's Country,2023-06-02,220693,4
kenny chesney,come over,17c97827-b4ce-4c92-8c7e-a6291c598472,https://open.spotify.com/track/45l9kciWv7IAOle5wuZiUb,2013 New Year's Dance Party Karaoke,2012-11-01,254380,0
j-dawg,all on you,2bdecd11-df65-4899-847b-e24c89520c82,https://open.spotify.com/track/4aWxp4mBOnWIUDlXb4ngaV,The Understanding,2000-01-01,294040,39
two door cinema club,sleep alone,f9a0d104-1202-4239-9aa2-fa3afaf20613,https://open.spotify.com/track/39azMPKUm5HcvBRbXg5V1X,Beacon (Deluxe Version),2012-09-03,235205,11
frak & nicky c,spacy,6f25f9fe-5605-488a-90be-a3dc563edecb,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,158086,58
frak & nicky c,cant stop talking,c4e8cef8-5195-494c-a79c-7bfaee0140ba,https://open.spotify.com/track/5pC5GNkttwoK8DqsVQBfq2,Duces 'N Trayz: The Old Fashioned Way (Clean),2001-07-31,315133,6
frak & nicky c,high school party,177667ed-214a-4c93-a384-78f6c6247bf6,https://open.spotify.com/track/6iQ2DrP3PRbCdhtvGA10ui,The Iceburg / Freedom Of Speech...Just Watch What You Say,1989-10-06,537866,10
frak & nicky c,friend zone,ccce63bb-1df1-439e-9e37-04870ba5a958,https://open.spotify.com/track/3Zd9lVkP26rw4WcvjYYdPv,Malice 'N Wonderland,2009-01-01,343213,16
frak & nicky c,priority,fd8ac773-5d3e-44e8-a2d5-0593531a9660,https://open.spotify.com/track/2HvHYG1pDokoZEoLsLKmdy,One More Round,2024-06-13,124096,2
frak & nicky c,a dream deferred,b5e3d1eb-423a-44a1-b170-9505a0894502,https://open.spotify.com/track/555aCvYU0jq8FZ53aiFuMK,KJV Old Testament - King James Version (Dramatized),2012-04-19,185524,2
frak & nicky c,pros  cons,b682c8a6-d1f5-4532-8e56-db756713c83a,https://open.spotify.com/track/783ek5MkVqO2qmgUgesmRl,FROST MOB,2024-12-13,120893,9
frak & nicky c,computer love,f2c9a822-3568-40f4-b8b7-8d6a406d8d44,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,158086,58
frak & nicky c,jimmer,4b6edd69-a364-4312-8eb0-29c6635c692d,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,158086,58
frak & nicky c,smoothie,5d516fd9-53ac-455f-a92a-735ce5bb3b4d,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,158086,58
frak & nicky c,shoes,288c82fe-f55e-4f9c-883c-2b32f7822f22,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,158086,58
rim'k,classico,92860473-449c-4a89-8a0d-244fdb6b5ddc,https://open.spotify.com/track/5x8IXmDXTjvofZ0yXoZoCr,L'enfant du pays,2004-03-22,275653,10
flobots,the circle in the square,8b864baf-0f4a-47eb-856f-ba37c8555946,https://open.spotify.com/track/54YIcwm4UHK2CjrPdqG5ET,"MMG Presents: Self Made, Vol. 2 (Deluxe Version)",2012-06-22,516826,34
chance the rapper,missing you,5bd291ba-e3e8-4627-897c-b99c955ce48e,https://open.spotify.com/track/5hCVuagXKZ1CoBQQPm7RfV,Ricky Henderson,2023-01-11,193501,18
georgio,quand je prends le mic,6ec6004f-8ca9-4e85-9a2a-c994fa8899d9,https://open.spotify.com/track/4ofIwjHhLBBnhd1FEAD1r7,Subliminal (La face cachée),2013-12-02,299600,32
luke bryan,country girl shake it for me,5429f043-5f2b-4613-af54-4cf5a1fbaa21,https://open.spotify.com/track/68A2ssc8jWD0ZMgeBDqlGE,Country Hits 2024,2024-09-06,225560,14
warpaint,undertow,9be9a276-9611-41e9-b3be-0cbb32a4e26c,https://open.spotify.com/track/576sqcwjSxWxJ2VDwaLjhY,The Fool (Andrew Weatherall Mixes),2021-06-12,350224,13
spaceghostpurrp,pheel tha phonk 1990,9a5f4729-f86f-41a6-bc97-cb0106ec7451,https://open.spotify.com/track/2ReUooLOxQ3Z67MK3bHW8I,BLVCKLVND Rvdix 66.6,2017-02-10,121823,35
farazi v kayra,çatımda radyolar,4c87488f-7407-40bb-80d8-9b8631566076,https://open.spotify.com/track/6gIkHMmsS3d3uSmBpz9TGa,DBF,2022-07-15,209990,20
kami,mimosa hostilis,343e1df0-a3e0-4836-a6a5-38c16e8224e9,https://open.spotify.com/track/6EuJqreLApopxUiAxqzOUi,WITNESS ME,2024-03-15,166694,0
jared evan,charlie brown,a2faf199-7322-4311-8340-20e1b7b8acd0,https://open.spotify.com/track/2XtN77QfokIWHxy8qQs56v,405 Blue Collection,2011-04-09,208538,0
angel haze,chi need to know,4a624931-fe76-4386-9c38-3e05513a33a7,https://open.spotify.com/track/4vXzVpUyvycqpJV5sE1QuT,Yay,2016-01-29,194823,45
sandy pearlman & bones,city life,952e581a-d9e9-4b8e-8d82-9fa14997fe32,https://open.spotify.com/track/1KbMFhZMOFWC9wRm12leu1,Surat Yaseen,2022-05-09,1285455,3
gunplay,real niggas,a551bee8-6afb-4ce8-b484-c589bbb1578f,https://open.spotify.com/track/7oE1d83u3LWMLB36BcBq0A,Tana Talk 3,2018-11-23,233033,40
far east movement,dirty bass,73a5d3d3-32bc-4b5a-9b0a-f7ff45413282,https://open.spotify.com/track/6R8WCBJB3MnAnrb3E8dY3U,Dirty Bass (Originally Performed By Far East Movement & Tyga) [Karaoke Audio Version],2012-06-14,214533,0
dolla,role model,d290d029-80f0-493f-9599-3282119bcf72,https://open.spotify.com/track/3k7aZog1gMirgwYDom36pH,GRAPE,2020-10-15,161663,10
eko fresh,rap tutorial,3bca0497-3805-42f5-aa4f-cfdedc86b423,https://open.spotify.com/track/2dqkpOXyMgyNXA10p2asp3,2020 Bars (The Goat),2020-04-03,92813,0
vybz kartel,clarks,17613a39-fc3a-4133-b1f4-996ae885841a,https://open.spotify.com/track/1aGW1gHoRzQff3D2WGXsVA,Reggae Gold 2010,2010-06-18,185600,17
left boy,healthy ego,c02418e3-7bc3-46b2-a02b-8d66ad46b39e,https://open.spotify.com/track/5pAHqphVSWgUaiSzwqTo3H,MisoLand,2022-01-14,253791,7
iron solomon,nothing to lose,d5f0803f-2438-4508-9ccb-06ed27069589,https://open.spotify.com/track/4vN5jAeq2sZVtqi14p9oCq,TOO VIRAL,2024-11-15,229830,26
2 chainz,birthday song,003f863d-209f-497a-b914-0fcf4a983823,https://open.spotify.com/track/04T2tPlOr4DLdLVf3OXSB4,2012 Pop Hits Volume 8,2012-10-05,317960,0
cities aviv,jaguar,8fb07e22-d76b-4a04-a7bb-78d4aa375598,https://open.spotify.com/track/70lVfvCQrzbYmL8B7T2A5G,Ring der Nebelungen,2015-06-12,254893,22
jessie j,who you are,57283838-6408-4e4e-810e-9b1726e33da9,https://open.spotify.com/track/2bG5ZbXc7NZ84hNbJ8N9uG,Who You Are (Platinum Edition),2011-01-01,330826,29
canardo,du haut de sa tour,2904e143-054b-4ceb-8f3a-d649e3d18b78,https://open.spotify.com/track/0gOurGTVm4dT0qyq8FK4bR,Fancy Ghetto (Version deluxe),2015-01-20,165933,1
passion pit,mirrored sea,7e7a7e75-2242-482f-ab20-8fe43fb413af,https://open.spotify.com/track/5LLwlG1KnCL60SSjnaukJA,Gossamer (Expanded Edition),2023-06-02,246386,11
meaty ogre,descending son,5ba639d1-f89c-4f61-851d-21195179bca0,https://open.spotify.com/track/5zyJfbm1s3nuYMWGqDbNuH,Endless: Songs of Eternity,2014-02-11,283360,1
cities aviv,a beautiful hell,364cb439-9326-44c0-a241-193a52611ccc,https://open.spotify.com/track/3ZDXv7kCkzOr5o1s89APqM,Necessary Evils - The Best Of,2016-10-21,244966,2
cities aviv,meet me on montrose for ex-lovers only,e5233e8a-4ee4-46a0-bb40-455684b5823c,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,1989 (Deluxe),2014-01-01,231826,79
kreayshawn,mobb freestyle,7be00352-68ef-4849-8ad4-87234fb45fc5,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf,Greatest Hits,1998-01-01,312626,79
canardo,b les balances,66fb7dc9-7260-4def-9ed3-7dee56c38767,https://open.spotify.com/track/79XJPnn6DwHCY2ylTuyMHf,Le Bien ou Le Mal,2021-11-09,161496,6
kool a.d.,manny pacquiao,5127e30d-3a41-4eb9-96d8-5233a4be2b9e,https://open.spotify.com/track/1UQNU5O9VttUgO16pxUnjw,Đánh Đổi,2023-10-10,226993,59
passion pit,take a walk,b4b1341a-34a0-491d-9822-e8f0c334039f,https://open.spotify.com/track/0ceOpdXnDTC6jiDFh9bYut,Take a Walk (Tribute to Passion Pit) [Karaoke Audio Version],2012-10-03,261400,0
passion pit,carried away,cc1d8434-53cc-4023-8193-832bf9633774,https://open.spotify.com/track/0tf43MNk8MZSt57FSWqJCf,"2013 Pop Hits, Vol. 12",2013-03-28,222568,0
passion pit,constant conversations,8f112916-2353-404c-8ae8-318f3549c79d,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh,Capo Dei Capi Vol. II & III,2021-03-25,197520,55
passion pit,cry like a ghost,a09ac3d4-67ad-4cc0-914c-3ac4ef693b9a,https://open.spotify.com/track/6FlcWCg0AWPwzEH6vfUIdV,Made Me Crazy,2021-10-01,272000,3
passion pit,on my way,7a5936d9-f5fa-4a9b-9342-a7d0718d2a14,https://open.spotify.com/track/4LmN889VhPSNg9N6q6805g,Skin Care Tutorial 2020,2020-04-03,173913,24
passion pit,hideaway,3dbd6048-dc40-4303-bb31-af185eaba97b,https://open.spotify.com/track/4Ww8MWoK9gmEr4cYJZf0z3,KEEP IT UP,1983,267000,8
passion pit,two veils to hide my face,ecf1eff0-0900-4ce4-a44b-ff355c72a1e5,https://open.spotify.com/track/75i8nGJoT6Q2znZNNhUmk3,Horrorful,2022-04-01,191552,16
passion pit,love is greed,1d95f18c-af98-415c-aef2-1321a32fdc21,https://open.spotify.com/track/6BbPhSR1s1nzcdpUGRpug9,I DON'T BELIEVE IN ANYTHING,2021-07-03,146374,2
passion pit,where we belong,aa6d5ff3-dfdb-4e1d-b0af-8da2f1e4f145,https://open.spotify.com/track/0sygm38QkklG0iNtHvD6tQ,Insanity Alert,2014-10-18,207826,12
the gaslight anthem,45,8088fd60-e541-4969-a351-e175506b4040,https://open.spotify.com/track/4t2fKJTALQYrPlm01r0kuc,"Sand & Cinder, Tide & Timber",2023-11-03,184000,8
the gaslight anthem,handwritten,9de859e0-36af-45ee-99b8-264d8574334c,https://open.spotify.com/track/4t2fKJTALQYrPlm01r0kuc,"Sand & Cinder, Tide & Timber",2023-11-03,184000,8
the gaslight anthem,national anthem,0731f34f-fece-44ca-ae96-563e3efe1c01,https://open.spotify.com/track/2kK7tkzPTJb9c8rRlyLBHj,I Want It All,2024-12-29,243194,32
lil mouse,get smoked,8211f943-0999-4589-a900-d7f1a349e4bd,https://open.spotify.com/track/1cPfQv8WyuAluUIFd38bBs,Who Dat,2023-11-30,233475,5
john,abbey,de4afc91-915d-43b6-8440-d126c15f3ced,https://open.spotify.com/track/0geFc3Y3ro5AT2upS1jg0K,Mozart: The 5 Violin Concertos,1994-01-01,412000,22
slaine,trail of blood,df1cff5c-d163-4931-b0c1-84b1b4627f2c,https://open.spotify.com/track/4dyGmeyUvWaU1PSWis62RI,Desolate Divine,2016-06-24,232453,22
dj scream,hood rich anthem,60b3f539-c7a7-4635-980c-a13f5066c5fd,https://open.spotify.com/track/2ODUZ33XvLYGn2wMem2zEJ,Astronaut Status,2012-01-17,264946,30
doughboyz cashout,therapy,fe67290d-058e-4010-bc25-38763fdaa74e,https://open.spotify.com/track/2jiloKWXiho3noHJEZtbk5,No Deal On Chill,2011-11-12,244453,10
krept & konan,fire in the booth part ii,6773b7f1-b53f-43d1-93d6-2643e4a8388f,https://open.spotify.com/track/0YvYgJ9nu5u3mRffzergfE,Sting,2015-03-22,240261,2
above&beyond: javed & laconic ego,love aint free,64be4afc-a559-426d-8e33-d293a87d5cea,https://open.spotify.com/track/273cv9sESQzXxMqEkhXdm4,Crazy Love,2024-02-09,231497,42
the underachievers,gold soul theory,f124049f-f415-4d11-9d5f-af76401c4240,https://open.spotify.com/track/1Fqugga4df76KqLeoMLeji,Gold Rush,2023-02-17,221342,13
farazi v kayra,düş peşindeyim düş peşime,b0e980a8-38b4-45fa-b3e7-69c90124e8a4,https://open.spotify.com/track/7koqYCHESDGTORau9emDO1,Hayalet Islığı (Instrumentals),2013-09-13,226428,61
360,died this way,98ff9e1e-2337-4914-956d-95b835bc752c,https://open.spotify.com/track/5anhqEGXtfyPKozqVEihig,Momma,2018-05-11,245496,19
sexion d'assaut,ils appellent ça,2c924134-b88c-457a-b1ee-89ef2524fd66,https://open.spotify.com/track/0z2jYWZgMfhKEwHCLXyjP5,GPG 2,2019-06-07,209527,13
rocky rivera,daydream,809cf700-8085-4ce8-b184-f34ee62a06b8,https://open.spotify.com/track/1bK7T5G25vWoJJIXcESAEw,Ironman,1996-08-19,310493,12
wale,kicks,15ca422b-0a37-4ddf-beb5-68cc3e70a737,https://open.spotify.com/track/6GvhqsLYc1oROoFRBevBkn,ACID SHOES,2023-01-18,230000,36
rohff,wesh zoulette,ce6b58a1-54d6-48f2-bb0d-621e537a0486,https://open.spotify.com/track/0pN75ttV5bEOJ5NUNVoc4N,Babl Gam,2020-01-25,179330,34
oddisee,paralyzed,e1d80ace-b55b-496f-8450-f5d2f2fd8b05,https://open.spotify.com/track/0gtsan9k8t9XK9sA0f2zgK,2001 The Odyssey,2023-11-14,234997,29
slaughterhouse,l.a. leakers freestyle,c67d9f41-dd34-4dd7-8996-60e90074651a,https://open.spotify.com/track/0tNDc8FJBkSYRpd9o8r4gr,UG - BPM 2,2024-11-22,872500,6
warren g,still in love,fa7ed9fc-8d3b-4483-a8c5-a393617870aa,https://open.spotify.com/track/63KcYWznO0w3J5wymiT9QK,Poetic Justice: Music from the Motion Picture,1993-06-29,322226,36
vampire weekend,unbelievers,4b9a11d8-5cec-4268-af00-58d2aafcb674,https://open.spotify.com/track/73rL8uhg9lW2CQ7F13A9YZ,Tao Of The Dead,2012-02-04,197952,7
la gale,quand la justice...,9550b8d8-1d3e-4655-a75f-d13a68671ad8,https://open.spotify.com/track/53OKRnaKKAT3bCkF8WIY8C,Hm Hm Hm (Remix),2024-11-29,181052,73
the shondes,are you ready,33230013-712b-4d41-a18a-fe9ef3878692,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,169917,96
cyne,jakob ladder,e0eb13f2-0f71-4aec-bce4-cc3616df61a1,https://open.spotify.com/track/4I24xQIZbpgoGjNlVbupBw,Project Mooncircle 10th Anniversary Compilation,2012-03-16,199826,16
milo & otis,lift up,09a74e6d-dd66-4e6c-8e97-66b7a1f67b8a,https://open.spotify.com/track/3NvJqHadzESLrJtdScUINQ,WAREHOUSE WONDERS,2024-10-25,514291,14
vado,one time,136915d1-ab5c-475e-9b2f-eb00d042e4ea,https://open.spotify.com/track/68prFxyfOaL335N8KnrPX7,Large on the Streets,2009-10-19,227474,28
omegah red,books of war,f9d8b92a-01e9-4cc3-bec5-32bf8ce9bae6,https://open.spotify.com/track/69WHYODrv7Wlo2U3qlB1a4,Mazes,2022-11-19,211043,4
la gale,on mate sur les côtés,b98dfd15-92fe-44b9-856b-db59e624cd62,https://open.spotify.com/track/5jEsr4sWnNx5Aaxkh4XfRj,Calers y Verí,2020-05-28,226666,27
rick ross,ashes to ashes,e39e1541-0073-402d-bb46-229d6ca9ea8e,https://open.spotify.com/track/0oNIbL7FgzHeGbCrUD60If,TRAGIC!!!,2021-12-03,195648,1
demi portion,toujours ensemble,ef010c79-ef5b-4b49-8deb-04f91dfd2953,https://open.spotify.com/track/5WQwlfv4G8UmAECiV5v3Xs,La bonne école,2020-01-17,238696,11
matisyahu,breathe easy,1877e15b-c753-4ab6-99c5-1712db7224a6,https://open.spotify.com/track/4eAs3Ane3xPrLOQ16NDIi6,Bye Bye,2015-01-23,220053,16
blueprint,automatic,3923f645-d017-428b-af5c-d8a22df7c35d,https://open.spotify.com/track/5hbWChFsJBl8z7h4N8KDyS,Disco Reset,2024-09-03,90000,15
evil ebenezer,wake up,35b8b2bd-162e-4ff7-87cd-089a17eb68c2,https://open.spotify.com/track/1R1B4ToHa8KZ4LAObK12Pv,Bullet,2018-07-20,173733,32
